name	intensity-avg	volume
Left-Lateral-Ventricle	17.7349	9127.2
Left-Inf-Lat-Vent	36.4718	409.0
Left-Cerebellum-White-Matter	84.1843	14481.7
Left-Cerebellum-Cortex	54.1103	48668.0
Left-Thalamus-Proper	83.0104	7469.4
Left-Caudate	68.6724	4110.0
Left-Putamen	73.9845	5342.1
Left-Pallidum	92.2758	1979.7
3rd-Ventricle	28.3278	733.2
4th-Ventricle	15.9506	2490.9
Brain-Stem	83.0624	20714.3
Left-Hippocampus	59.8752	3949.8
Left-Amygdala	57.0071	1667.8
CSF	35.4676	766.7
Left-Accumbens-area	60.8558	738.6
Left-VentralDC	88.2025	4028.2
Left-vessel	55.6667	8.1
Left-choroid-plexus	45.2975	487.9
Right-Lateral-Ventricle	19.3336	6332.9
Right-Inf-Lat-Vent	30.0586	354.5
Right-Cerebellum-White-Matter	83.6681	13598.3
Right-Cerebellum-Cortex	52.6567	48684.3
Right-Thalamus-Proper	80.3381	6810.9
Right-Caudate	67.4014	4190.4
Right-Putamen	72.4656	5362.4
Right-Pallidum	90.7279	2109.3
Right-Hippocampus	57.1774	4153.5
Right-Amygdala	57.0912	1655.2
Right-Accumbens-area	62.8669	578.3
Right-VentralDC	87.0282	3927.7
Right-vessel	51.625	14.0
Right-choroid-plexus	46.2865	680.8
5th-Ventricle	0.0	0.0
WM-hypointensities	65.8507	714.5
Left-WM-hypointensities	0.0	0.0
Right-WM-hypointensities	0.0	0.0
non-WM-hypointensities	0.0	0.0
Left-non-WM-hypointensities	0.0	0.0
Right-non-WM-hypointensities	0.0	0.0
Optic-Chiasm	71.7669	152.2
CC_Posterior	99.4024	947.9
CC_Mid_Posterior	94.1031	549.7
CC_Central	96.7221	481.7
CC_Mid_Anterior	100.9591	509.5
CC_Anterior	102.1418	879.0
